antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['lsa', 'external']","['UPSTREAM_FAILURE', 'originator']",0.024,0.02536,0.024,1.0,39.43217665615142,1.0,0.02339136,inf,0.9986065573770492,0.9463722397476341,1.0,0.973186119873817
"['originator', 'external']","['lsa', 'UPSTREAM_FAILURE']",0.024,0.02536,0.024,1.0,39.43217665615142,1.0,0.02339136,inf,0.9986065573770492,0.9463722397476341,1.0,0.973186119873817
"['lsa', '172']","['UPSTREAM_FAILURE', 'originator']",0.01144,0.02536,0.01144,1.0,39.43217665615142,1.0,0.0111498816,inf,0.9859189123573682,0.45110410094637227,1.0,0.7255520504731862
"['originator', '172']","['lsa', 'UPSTREAM_FAILURE']",0.01144,0.02536,0.01144,1.0,39.43217665615142,1.0,0.0111498816,inf,0.9859189123573682,0.45110410094637227,1.0,0.7255520504731862
"['external', 'same']","['UPSTREAM_FAILURE', 'with']",0.01672,0.0264,0.01672,1.0,37.87878787878788,1.0,0.016278591999999998,inf,0.9901553982588884,0.6333333333333333,1.0,0.8166666666666667
"['external', '3600']","['UPSTREAM_FAILURE', 'with']",0.012,0.0264,0.012,1.0,37.87878787878788,1.0,0.0116832,inf,0.9854251012145748,0.4545454545454545,1.0,0.7272727272727273
"['update', '172']","['UPSTREAM_FAILURE', 'with']",0.01224,0.0264,0.01192,0.9738562091503269,36.888492770845716,1.0,0.011596864,37.24020000000014,0.9849470267755177,0.4461077844311377,0.973147297812579,0.7126856803327393
"['update', 'external']","['UPSTREAM_FAILURE', 'with']",0.02584,0.0264,0.02512,0.9721362229102167,36.82334177690215,1.0,0.024437824,34.941422222222236,0.9986483864066589,0.9262536873156344,0.9713806726686696,0.9618256872126841
"['100', '3600']","['UPSTREAM_FAILURE', 'with']",0.01264,0.0264,0.012,0.9493670886075949,35.96087456846951,1.0,0.011666304,19.228599999999982,0.9846378220709772,0.44378698224852076,0.9479941337382857,0.7019562715765247
"['ospf-area-1', 'external']","['UPSTREAM_FAILURE', 'with']",0.02696,0.0264,0.02512,0.9317507418397626,35.293588706051615,1.0,0.024408256,14.265356521739125,0.9985881793535893,0.8895184135977335,0.9299001046012352,0.9416329466774571
"['external', 'interface']","['UPSTREAM_FAILURE', 'with']",0.02696,0.0264,0.02512,0.9317507418397626,35.293588706051615,1.0,0.024408256,14.265356521739125,0.9985881793535893,0.8895184135977335,0.9299001046012352,0.9416329466774571
"['broadcast', 'external']","['UPSTREAM_FAILURE', 'with']",0.02696,0.0264,0.02512,0.9317507418397626,35.293588706051615,1.0,0.024408256,14.265356521739125,0.9985881793535893,0.8895184135977335,0.9299001046012352,0.9416329466774571
"['external', 'neighbor']","['UPSTREAM_FAILURE', 'with']",0.02696,0.0264,0.02512,0.9317507418397626,35.293588706051615,1.0,0.024408256,14.265356521739125,0.9985881793535893,0.8895184135977335,0.9299001046012352,0.9416329466774571
"['ospf-area-1', '172']","['UPSTREAM_FAILURE', 'with']",0.01288,0.0264,0.01192,0.9254658385093167,35.055524185958966,1.0,0.011579968,13.062466666666662,0.9841496732954005,0.435672514619883,0.9234447807203335,0.6884904950122341
"['172', 'interface']","['UPSTREAM_FAILURE', 'with']",0.01288,0.0264,0.01192,0.9254658385093167,35.055524185958966,1.0,0.011579968,13.062466666666662,0.9841496732954005,0.435672514619883,0.9234447807203335,0.6884904950122341
"['broadcast', '172']","['UPSTREAM_FAILURE', 'with']",0.01288,0.0264,0.01192,0.9254658385093167,35.055524185958966,1.0,0.011579968,13.062466666666662,0.9841496732954005,0.435672514619883,0.9234447807203335,0.6884904950122341
"['172', 'neighbor']","['UPSTREAM_FAILURE', 'with']",0.01288,0.0264,0.01192,0.9254658385093167,35.055524185958966,1.0,0.011579968,13.062466666666662,0.9841496732954005,0.435672514619883,0.9234447807203335,0.6884904950122341
['3600'],"['UPSTREAM_FAILURE', 'external', 'with']",0.01408,0.02512,0.012,0.8522727272727273,33.928054429646785,1.0,0.0116463104,6.599187692307693,0.9843860218543762,0.44117647058823534,0.8484661981707772,0.664989866821077
['3600'],"['UPSTREAM_FAILURE', 'with', '100']",0.01408,0.02552,0.012,0.8522727272727273,33.39626674266172,1.0,0.0116406784,6.596480000000001,0.9839099859353023,0.43478260869565216,0.8484039972833997,0.6612460815047022
['3600'],"['update', 'UPSTREAM_FAILURE', 'external']",0.01408,0.02584,0.012,0.8522727272727273,32.98269068392908,1.0,0.0116361728,6.594313846153847,0.9835291572000432,0.42979942693409745,0.8483541997954415,0.6583345060512243
"['age', '172']","['UPSTREAM_FAILURE', 'with']",0.01392,0.0264,0.01192,0.8563218390804598,32.436433298502266,1.0,0.011552512000000001,6.776256000000001,0.9828517663867615,0.4197183098591549,0.8524258823751641,0.6539184952978057
"['flooding', '100']","['lsa', 'UPSTREAM_FAILURE']",0.01216,0.02536,0.01,0.8223684210526315,32.42777685538768,1.0,0.0096916224,5.4868622222222205,0.981092322643343,0.36337209302325585,0.8177464715716896,0.6083450938070729
"['100', 'flooding']","['UPSTREAM_FAILURE', 'originator']",0.01216,0.02536,0.01,0.8223684210526315,32.42777685538768,1.0,0.0096916224,5.4868622222222205,0.981092322643343,0.36337209302325585,0.8177464715716896,0.6083450938070729
"['external', 'age']","['UPSTREAM_FAILURE', 'with']",0.02936,0.0264,0.02512,0.8555858310626703,32.40855420691933,1.0,0.024344896,6.74172075471698,0.9984586963700096,0.8198433420365534,0.8516699168679851,0.903550491288911
['3600'],"['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['age', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'age', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['3600', 'csum']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'with', 'csum']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['seq', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'seq', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['update', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['update', 'UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['neighbor', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'neighbor', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['broadcast', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['broadcast', 'UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['3600', 'interface']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'with', 'interface']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['ospf-area-1', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['ospf-area-1', 'UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['ospf-instance-1', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['ospf-instance-1', 'UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['ospf', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'ospf', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['router-id', '3600']","['UPSTREAM_FAILURE', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'router-id', 'with']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['update', 'UPSTREAM_FAILURE', 'age']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'age', 'neighbor']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['broadcast', 'UPSTREAM_FAILURE', 'age']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'age', 'interface']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'neighbor', 'csum']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['broadcast', 'UPSTREAM_FAILURE', 'csum']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['csum', 'UPSTREAM_FAILURE', 'interface']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'seq', 'neighbor']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['broadcast', 'UPSTREAM_FAILURE', 'seq']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
['3600'],"['UPSTREAM_FAILURE', 'seq', 'interface']",0.01408,0.0264,0.012,0.8522727272727273,32.28305785123967,1.0,0.011628288,6.590523076923078,0.9828627069133398,0.42134831460674155,0.8482669754239187,0.6534090909090909
"['external', 'with']","['UPSTREAM_FAILURE', 'age']",0.02512,0.03104,0.02512,1.0,32.21649484536082,1.0,0.0243402752,inf,0.9939274577383884,0.8092783505154639,1.0,0.904639175257732
"['external', 'same']","['UPSTREAM_FAILURE', 'age']",0.01672,0.03104,0.01672,1.0,32.21649484536082,1.0,0.016201011199999997,inf,0.9854364982507523,0.538659793814433,1.0,0.7693298969072164
"['172', 'with']","['UPSTREAM_FAILURE', 'age']",0.01192,0.03104,0.01192,1.0,32.21649484536082,1.0,0.0115500032,inf,0.9806493401344021,0.38402061855670105,1.0,0.6920103092783505
"['external', '3600']","['UPSTREAM_FAILURE', 'age']",0.012,0.03104,0.012,1.0,32.21649484536082,1.0,0.01162752,inf,0.9807287449392713,0.3865979381443299,1.0,0.6932989690721649
